0 level,01st level ,2nd level,3rd level,4th level,5th level,6th level,Nutrition_tree_ID,[Level],ChEBI_ID,CDNO Relationships ,Synonym,,parent,parent ID,term,term ID,relationship
,,,albumin type,,,,03_albumin type,[3],CHEBI:166964,is a,,,seed storage protein,unspecified CHEBI term,albumin type,CHEBI:166964,is a
,,,globulin type,,,,03_globulin type,[3],CHEBI:166899,is a,,,seed storage protein,unspecified CHEBI term,globulin type,CHEBI:166899,is a
,,,,prolamin,,,04_prolamin,[4],CHEBI:166885,is a,,,globulin type,CHEBI:166899,prolamin,CHEBI:166885,is a
,,,,cruciferin,,,04_cruciferin,[4],CHEBI:166886,is a,,,globulin type,CHEBI:166899,cruciferin,CHEBI:166886,is a
,,,,glutenin,,,04_glutenin,[4],CHEBI:166887,is a,,,globulin type,CHEBI:166899,glutenin,CHEBI:166887,is a
,,amino acid,,,,,02_amino acid,[2],CHEBI:33709,derived from,,,protein,CHEBI:36080,amino acid,CHEBI:33709,derived from
,,,alanine,,,,03_alanine,[3],CHEBI:16449,is a,,,amino acid,CHEBI:33709,alanine,CHEBI:16449,is a
,,,arginine,,,,03_arginine,[3],CHEBI:29016,is a,,,amino acid,CHEBI:33709,arginine,CHEBI:29016,is a
,,,asparagine,,,,03_asparagine,[3],CHEBI:22653,is a,,,amino acid,CHEBI:33709,asparagine,CHEBI:22653,is a
,,,aspartic acid,,,,03_aspartic acid,[3],CHEBI:22660,is a,,,amino acid,CHEBI:33709,aspartic acid,CHEBI:22660,is a
,,,cysteine,,,,03_cysteine,[3],CHEBI:15356,is a,,,amino acid,CHEBI:33709,cysteine,CHEBI:15356,is a
,,,glutamic acid,,,,03_glutamic acid,[3],CHEBI:18237,is a,,,amino acid,CHEBI:33709,glutamic acid,CHEBI:18237,is a
,,,glutamine,,,,03_glutamine,[3],CHEBI:28300,is a,,,amino acid,CHEBI:33709,glutamine,CHEBI:28300,is a
,,,glycine,,,,03_glycine,[3],CHEBI:15428,is a,,,amino acid,CHEBI:33709,glycine,CHEBI:15428,is a
,,,histidine,,,,03_histidine,[3],CHEBI:27570,is a,,,amino acid,CHEBI:33709,histidine,CHEBI:27570,is a
,,,hydroxyproline,,,,03_hydroxyproline,[3],CHEBI:24741,is a,,,amino acid,CHEBI:33709,hydroxyproline,CHEBI:24741,is a
,,,isoleucine,,,,03_isoleucine,[3],CHEBI:24898,is a,,,amino acid,CHEBI:33709,isoleucine,CHEBI:24898,is a
,,,leucine,,,,03_leucine,[3],CHEBI:25017,is a,,,amino acid,CHEBI:33709,leucine,CHEBI:25017,is a
,,,lysine,,,,03_lysine,[3],CHEBI:25094,is a,,,amino acid,CHEBI:33709,lysine,CHEBI:25094,is a
