CHEBI:26709	#sodium hydrogensulfite
CHEBI:50985	#sodium borohydride
CHEBI:75229	#sodium bromate
CHEBI:65242	#sodium chlorate
CHEBI:33192	#sodium cyanide
CHEBI:28741	#sodium fluoride
CHEBI:32145	#sodium hydroxide
CHEBI:81708	#Sodium iodate
CHEBI:63005	#sodium nitrate
CHEBI:38700	#organic sodium salt
CHEBI:132764	#sodium oxalate
CHEBI:63017	#sodium L-tartrate
CHEBI:62965	#sodium formate
CHEBI:52476	#sodium phenolate
CHEBI:53258	#sodium citrate
CHEBI:15138	#sulfide(2−)
CHEBI:17359	#sulfite
CHEBI:24840	#inorganic sulfate salt
CHEBI:31346	#calcium sulfate
CHEBI:32599	#magnesium sulfate
CHEBI:75832	#iron sulfate
CHEBI:32149	#sodium sulfate
CHEBI:26709	#sodium hydrogensulfite
CHEBI:32036	#potassium sulfate
CHEBI:23414	#copper(II) sulfate
CHEBI:25704	#organic sulfate salt
CHEBI:33261	#organosulfur compound
CHEBI:29256	#thiol
CHEBI:16856	#glutathione
CHEBI:9349	#sulfonyldimethane
CHEBI:28262	#dimethyl sulfoxide
CHEBI:15356	#cysteine
CHEBI:16811	#methionine
CHEBI:24401	#glucosinolate
CHEBI:79317	#sinigrin
CHEBI:52221	#isothiocyanate
CHEBI:73224	#allyl isothiocyanate
CHEBI:18422	#sulfur dioxide
CHEBI:49470	#aluminium(3+)
CHEBI:49867	#antimony(3+)
CHEBI:35828	#arsenic(3+)
CHEBI:30168	#boron(3+)
CHEBI:48775	#cadmium(2+)
CHEBI:33006	#chromium(2+)
CHEBI:190412	#inorganic chromium salt
CHEBI:190413	#organic chromium salt
CHEBI:48828	#cobalt(2+)
CHEBI:29036	#copper(2+)
CHEBI:190414	#inorganic copper salt
CHEBI:23414	#copper(II) sulfate
CHEBI:190415	#organic copper salt
CHEBI:17051	#fluoride
CHEBI:190416	#inorganic fluoride salt
CHEBI:190417	#organic fluoride salt
CHEBI:16382	#iodine
CHEBI:190418	#inorganic iodine salt
CHEBI:190419	#organic iodine salt
CHEBI:29033	#iron(2+)
CHEBI:131371	#iron(3+) phosphate
CHEBI:190420	#inorganic iron salt
CHEBI:75832	#iron(2+) sulfate (anhydrous)
CHEBI:190421	#organic iron salt
